id,name,psc,latitude,longitude,location,country
5101,Štěpánkovice,74728,49.95748,18.037518,SRID=4326;POINT (49.957480 18.037518),CZ
5102,Štěpánov,78313,49.684136,17.220518,SRID=4326;POINT (49.684136 17.220518),CZ
5103,Štěpánov nad Svratkou,59263,49.504688,16.339224,SRID=4326;POINT (49.504688 16.339224),CZ
5104,Štěpánovice,37373,49.00193,14.653443,SRID=4326;POINT (49.001930 14.653443),CZ
5105,Štěpánovice,66602,49.373052,16.387683,SRID=4326;POINT (49.373052 16.387683),CZ
5106,Štěpkov,67526,49.084115,15.650302,SRID=4326;POINT (49.084115 15.650302),CZ
5107,Šternberk,78501,49.730542,17.298995,SRID=4326;POINT (49.730542 17.298995),CZ
5108,Štětí,41108,50.453087,14.374322,SRID=4326;POINT (50.453087 14.374322),CZ
5109,Štětkovice,26401,49.670811,14.506319,SRID=4326;POINT (49.670811 14.506319),CZ
5110,Štíhlice,28163,50.005666,14.780051,SRID=4326;POINT (50.005666 14.780051),CZ
5111,Štichov,34562,49.585019,13.048969,SRID=4326;POINT (49.585019 13.048969),CZ
5112,Štichovice,33141,49.977911,13.302933,SRID=4326;POINT (49.977911 13.302933),CZ
5113,Štipoklasy,28401,49.824707,15.213391,SRID=4326;POINT (49.824707 15.213391),CZ
5114,Štítary,67102,48.935202,15.844388,SRID=4326;POINT (48.935202 15.844388),CZ
5115,Štítina,74791,49.914966,18.012559,SRID=4326;POINT (49.914966 18.012559),CZ
5116,Štítná nad Vláří-Popov,76333,49.070718,17.972465,SRID=4326;POINT (49.070718 17.972465),CZ
5117,Štítov,33843,49.666038,13.678024,SRID=4326;POINT (49.666038 13.678024),CZ
5118,Štíty,78991,49.961321,16.765863,SRID=4326;POINT (49.961321 16.765863),CZ
5119,Štoky,58253,49.502586,15.588733,SRID=4326;POINT (49.502586 15.588733),CZ
5120,Štramberk,74266,49.591905,18.117521,SRID=4326;POINT (49.591905 18.117521),CZ
5121,Študlov,56904,49.602645,16.498432,SRID=4326;POINT (49.602645 16.498432),CZ
5122,Študlov,75612,49.162525,18.083277,SRID=4326;POINT (49.162525 18.083277),CZ
5123,Šubířov,79852,49.602264,16.813444,SRID=4326;POINT (49.602264 16.813444),CZ
5124,Šumavské Hoštice,38471,49.039501,13.872365,SRID=4326;POINT (49.039501 13.872365),CZ
5125,Šumice,67175,48.9922,16.437469,SRID=4326;POINT (48.992200 16.437469),CZ
5126,Šumice,68731,49.028682,17.72216,SRID=4326;POINT (49.028682 17.722160),CZ
5127,Šumná,67102,48.922527,15.871054,SRID=4326;POINT (48.922527 15.871054),CZ
5128,Šumperk,78701,49.977941,16.971875,SRID=4326;POINT (49.977941 16.971875),CZ
5129,Šumvald,78385,49.831136,17.132851,SRID=4326;POINT (49.831136 17.132851),CZ
5130,Švábenice,68323,49.278501,17.123499,SRID=4326;POINT (49.278501 17.123499),CZ
5131,Švábov,58851,49.308525,15.357131,SRID=4326;POINT (49.308525 15.357131),CZ
5132,Švihov,34012,49.481466,13.284281,SRID=4326;POINT (49.481466 13.284281),CZ
5133,Švihov,27033,50.109935,13.5644,SRID=4326;POINT (50.109935 13.564400),CZ
5134,Tábor,39002,49.413089,14.677566,SRID=4326;POINT (49.413089 14.677566),CZ
5135,Tachlovice,25217,50.014555,14.240788,SRID=4326;POINT (50.014555 14.240788),CZ
5136,Tachov,47201,50.543414,14.638554,SRID=4326;POINT (50.543414 14.638554),CZ
5137,Tachov,34701,49.79888,12.636292,SRID=4326;POINT (49.798880 12.636292),CZ
5138,Tálín,39815,49.247661,14.227263,SRID=4326;POINT (49.247661 14.227263),CZ
5139,Tanvald,46841,50.737629,15.307982,SRID=4326;POINT (50.737629 15.307982),CZ
5140,Tasov,69663,48.906964,17.429767,SRID=4326;POINT (48.906964 17.429767),CZ
5141,Tasov,67579,49.288374,16.094889,SRID=4326;POINT (49.288374 16.094889),CZ
5142,Tasovice,67971,49.496043,16.441633,SRID=4326;POINT (49.496043 16.441633),CZ
5143,Tasovice,67125,48.836196,16.155687,SRID=4326;POINT (48.836196 16.155687),CZ
5144,Tašov,40002,50.614624,14.135906,SRID=4326;POINT (50.614624 14.135906),CZ
5145,Tatce,28911,50.091224,14.977345,SRID=4326;POINT (50.091224 14.977345),CZ
5146,Tatenice,56131,49.871076,16.697311,SRID=4326;POINT (49.871076 16.697311),CZ
5147,Tatiná,33011,49.848699,13.299824,SRID=4326;POINT (49.848699 13.299824),CZ
5148,Tatobity,51253,50.571343,15.273268,SRID=4326;POINT (50.571343 15.273268),CZ
5149,Tatrovice,35735,50.276819,12.697409,SRID=4326;POINT (50.276819 12.697409),CZ
5150,Tavíkovice,67140,49.033846,16.103265,SRID=4326;POINT (49.033846 16.103265),CZ
5151,Tečovice,76302,49.221167,17.587443,SRID=4326;POINT (49.221167 17.587443),CZ
5152,Tehov,25801,49.735542,14.966838,SRID=4326;POINT (49.735542 14.966838),CZ
5153,Tehov,25101,49.97162,14.693897,SRID=4326;POINT (49.971620 14.693897),CZ
5154,Tehovec,25162,49.981597,14.730399,SRID=4326;POINT (49.981597 14.730399),CZ
5155,Těchařovice,26231,49.599507,14.048897,SRID=4326;POINT (49.599507 14.048897),CZ
5156,Těchlovice,50327,50.207992,15.711159,SRID=4326;POINT (50.207992 15.711159),CZ
5157,Těchlovice,40502,50.696428,14.205036,SRID=4326;POINT (50.696428 14.205036),CZ
5158,Těchobuz,39501,49.510188,14.930738,SRID=4326;POINT (49.510188 14.930738),CZ
5159,Těchonín,56166,50.065031,16.618015,SRID=4326;POINT (50.065031 16.618015),CZ
